Nombre Apellido Departamento Salario
ALONSO NARANJO Marketig 3577411
ALONSO SANTA Finanzas 6429063
ALONSO GONZALEZ Marketig 3653639
ALONSO CUADROS Gestion_de_operaciones 4884000
ALONSO MONCADA Finanzas 1297294
ALONSO SUESCUN Gestion_de_operaciones 1248060
ALONSO RAMIREZ Marketig 3195892
ALONSO NOVA Gestion_Humana 2691367
ALONSO MEJIA Gestion_Humana 4164585
ALONSO DUQUE Finanzas 5767446
ALONSO HIGUITA Gestion_Humana 4487442
ALONSO MOLANO Tecnologia 1701996
ALONSO AGUIRRE Gestion_Humana 1768842
ALONSO PEÑA Gestion_Humana 6070978
ALONSO WILCHES Gestion_Humana 3241877
ALONSO PEREZ Gestion_de_operaciones 4515879
ALONSO GUERRA Gestion_Humana 4233638
ALONSO PEREZ Marketig 3269845
ALONSO BETANCUR Gestion_Humana 3585316
ALONSO BETANCUR Gestion_Humana 2596648
ALONSO SALAZAR Gestion_Humana 6329255
ALONSO RODRIGUEZ Gestion_de_operaciones 3445045
ALONSO CARANGUAY Marketig 1716339
ALONSO CASTRO Finanzas 4345395
ALONSO TOBAR Finanzas 2508913
ALONSO HURTADO Gestion_Humana 6206410
ALONSO ALVAREZ Gestion_Humana 5237398
ALONSO MARULANDA Tecnologia 2284168
ALONSO VANEGAS Tecnologia 4233927
ALONSO VIRGUEZ Gestion_de_operaciones 4436233
ALONSO GONZALEZ Finanzas 1895041
ALONSO MARRUGO Tecnologia 5047273
ALONSO GALVIS Gestion_Humana 1708578
ALONSO PORTILLA Finanzas 4402779
ALONSO GOMEZ Gestion_Humana 4353713
ALONSO RENDON Gestion_Humana 5377691
ALONSO BOLAÑOS Gestion_de_operaciones 5539907
ALONSO GALLARDO Gestion_de_operaciones 1220405
ALONSO ARRIETA Finanzas 4985976
ALONSO VEGA Marketig 2126313
ALONSO CONGIU Gestion_Humana 6265904
ALONSO BAENA Gestion_Humana 1616745
ANDRES NARANJO Finanzas 4722686
ANDRES SANTA Tecnologia 1834062
